216,414940,-816639
812,387304,-863917
608,434742,-903267
636,385539,-907954
936,309638,-950944
908,407112,-746631
503,453873,-1228868
618,382192,-891657
206,475797,-1223795
802,438825,-724345
831,365713,-1214647
609,396917,-745477
813,280555,-823785
941,272002,-822577
660,393019,-935865
502,381537,-852363
217,398261,-895012
909,341231,-1173093
512,304440,-976429
619,327810,-1167304
951,337275,-1170530
207,452672,-689850
361,283290,-975487
651,449786,-926353
803,338718,-810483
773,418328,-877286
505,342964,-1060620
814,409508,-788911
757,372913,-763079
785,390615,-984177
218,476421,-934977
661,350570,-1188419
952,449016,-935908
671,133991,1447701
804,375928,-772630
586,426565,-829205
859,383327,-845180
765,401286,-861833
401,415915,-714624
918,357513,-957444
626,341059,-1180411
937,396220,-840195
219,411966,-870201
504,296567,-900143
775,390426,-1170690
209,377647,-1205646
617,423281,-711188
805,349694,-1199407
228,304429,-890123
972,327683,-966486
317,399541,-861157
402,414921,-983918
419,410251,-834381
308,415206,-1008176
252,355964,-769462
336,360396,-802863
787,182314,-662809
727,280104,-827221
316,377870,-972262
253,471486,-1222559
325,316807,-999421
585,426813,-777367
417,373342,-929290
404,338273,-843773
810,429694,-832063
863,273908,-814420
707,400229,-1230102
270,373038,-871338
337,305798,-925348
251,311260,-876151
435,395062,-1115805
716,426746,-785574
530,402398,-1218085
574,411267,-861736
307,430019,-1075786
479,355349,-937588
864,343901,-823014
260,410417,-853404
510,377744,-1220274
520,326525,-1112195
706,336267,-837365
830,294364,-991167
425,477250,-1218932
304,389351,-801633
434,374445,-784475
985,300829,-902877
715,455375,-902484
313,423266,-831239
724,406161,-797039
734,421089,-836157
610,403141,-756690
561,266651,-804263
620,378514,-983144
949,335569,-1177200
276,369971,-816238
407,283966,-813383
704,354435,-807275
423,357947,-837535
630,418190,-881014
321,283116,-807217
302,391400,-754052
432,310131,-1028546
713,298465,-954048
850,303538,-853659
541,439678,-1206323
408,372273,-1217788
413,423821,-728034
703,388875,-773215
732,402263,-742784
312,418780,-876452
920,441348,-880871
973,409958,-744957
303,400743,-1045931
712,420398,-955082
910,346853,-789794
570,412599,-763551
731,357500,-888497
702,359866,-1148683
860,416605,-726469
386,296764,-820729
323,340285,-1182461
507,441236,-938529
989,441397,-839342
623,335248,-1124533
904,301904,-818178
913,388406,-950316
212,407832,-739697
816,392630,-944094
701,474650,-1002743
806,346206,-1015472
954,261495,-803500
517,423084,-845068
770,337404,-844565
202,389283,-770802
231,444602,-854110
301,388987,-778822
912,317003,-826658
817,326028,-974948
410,388420,-761638
979,298633,-961877
213,340377,-1183066
615,361432,-866363
203,413343,-731447
740,396308,-821060
509,473137,-1195005
978,426180,-715192
631,409507,-727247
602,334973,-1120824
320,454874,-946377
956,270335,-983683
772,274384,-804096
612,449476,-932660
215,401819,-751988
903,324408,-954825
248,426311,-833785
508,418676,-710595
480,335546,-1117397
205,331842,-872738
603,439148,-716176
518,434719,-739916
646,407832,-739697
469,327952,-968106
267,401819,-751988
947,426311,-833785
227,388987,-778822
240,388987,-778822
786,252590,-809656
470,338273,-843773
443,388420,-761638
567,410251,-834381
564,477250,-1218932
774,418676,-710595
737,304440,-976429
283,392119,-843651
769,316660,-899334
835,403141,-756690
484,403141,-756690
857,423281,-711188
980,354435,-807275
832,298465,-954048
347,407048,-739768
848,402263,-742784
339,422494,-709756
939,182314,-662809
682,326028,-974948
959,416605,-726469
430,324408,-954825
984,358108,-786424
862,409958,-744957
351,426180,-715192
940,335074,-987164
513,392119,-843651
225,304760,-911572
650,374673,-1222922
916,386945,-1208481
763,453414,-935467
670,146760,1455025
641,420356,-933587
925,377852,-1219150
919,358108,-786424
858,328676,-1171479
606,376790,-835866
906,463274,-869151
616,430090,-856366
208,455217,-1140166
559,367260,-1194999
515,423874,-938491
360,472985,-1227468
928,347396,-1119152
607,423704,-761411
907,615420,-1537177
662,333134,-896402
815,415054,-890671
856,396368,-751620
478,326133,-830436
239,263093,-816821
719,382200,-1045391
865,359751,-840007
229,315287,-838502
281,298642,-953874
309,409353,-897834
262,430194,-882637
847,422143,-881117
718,407048,-739768
708,416501,-878145
319,416541,-920004
970,389923,-1055653
573,381263,-911111
501,349622,-926113
717,406148,-770843
318,319074,-924665
563,424106,-913117
405,353928,-973922
845,416317,-743243
801,406380,-1118503
256,338654,-867090
562,338624,-1180914
415,379560,-1226301
843,334371,-799173
406,468051,-1100720
580,353625,-987321
901,352823,-896891
714,337951,-1178350
414,429911,-882897
305,252590,-809656
601,316660,-899334
334,320930,-865125
315,437764,-759446
210,294471,-984929
254,325375,-980282
870,347582,-920809
314,386492,-904291
412,404159,-799745
409,303474,-943842
540,381115,-789872
201,408795,-740825
340,180286,-648181
760,356535,-1168484
310,337430,-1185146
269,422404,-858057
614,399694,-829972
605,442284,-1002252
931,358134,-863783
516,407447,-735955
781,422494,-709756
440,415318,-814792
915,315352,-1055533
330,408976,-813385
818,342209,-1184403
214,327952,-968106
808,206902,34354
352,291210,-823975
914,411231,-737496
828,356610,-825664
551,408795,-740825
475,413343,-731447
917,407832,-739697
720,400743,-1045931
424,337430,-1185146
234,408976,-813385
667,388420,-761638
878,404159,-799745
971,453873,-1228868
380,399694,-829972
571,388875,-773215
678,337404,-844565
224,422143,-881117
754,261495,-803500
